Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
AlertMedia,https://angel.co/company/alert-media,5,Dec '13,Austin,Emergency Management,http://www.alertmedia.com,51-200,Series B,13010000
ePatientFinder,https://angel.co/company/epatientfinder,5,Aug '13,Austin,Medical Devices,http://www.epatientfinder.com,1-10,Series B,14975000
Cerebri AI,https://angel.co/company/cerebri-1,5,Apr '15,Austin,Deep Learning,http://www.cerebriai.com,51-200,"",9360000
Toopher,https://angel.co/company/toopher,4,May '12,Austin,Location Based Services,http://toopher.com,11-50,"",2790600
MakerSights,https://angel.co/company/makersights,4,Jan '17,Austin,Retail Technology,https://makersights.com/,11-50,Series A,11600000
WigWag,https://angel.co/company/wigwag,4,Sep '12,Austin,Industrial Automation,http://www.wigwag.io,11-50,Seed,3000000
Knocki,https://angel.co/company/knocki,4,Aug '15,Austin,Internet of Things,https://knocki.com,11-50,Series A,2450000
UnaliWear,https://angel.co/company/unaliwear,4,Feb '14,Austin,Medical Devices,http://www.unaliwear.com,11-50,"",4600000
SchooLinks,https://angel.co/company/schoolinks,4,Mar '14,Austin,K-12 Education,http://www.schoolinks.com,11-50,Seed,2300000
Querium,https://angel.co/company/querium,4,Apr '14,Austin,Training,http://querium.com,1-10,Series A,2508200
FeedMagnet,https://angel.co/company/feedmagnet,4,Apr '14,Austin,Social Media Marketing,http://www.feedmagnet.com,11-50,Acquired,9000000
Stackla,https://angel.co/company/stackla,4,Mar '12,Austin,Social Media Marketing,http://stackla.com,51-200,Series A,6100000
Insitome,https://angel.co/company/insitome,3,Jul '16,Austin,Apps,http://www.insito.me,1-10,Seed,3000000
Movero ,https://angel.co/company/movero,3,May '14,Austin,Mobile,http://www.calero.com,201-500,"",10992300
Green & Grow,https://angel.co/company/green-grow,3,Mar '15,Austin,Agriculture,http://www.greenandgrow.com/,11-50,Series B,6000000
LightArrow,https://angel.co/company/lightarrow,3,May '13,Austin,B2B,http://lightarrow.com,1-10,"",2400000
