Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
BevSpot,https://angel.co/company/bevspot,5,Sep '14,Boston,Wine And Spirits,https://www.bevspot.com,11-50,Series B,17090000
Madaket Health,https://angel.co/company/madaket-health,5,Dec '14,Cambridge,B2B,http://www.madakethealth.com,11-50,Series B,10000000
Insurify,https://angel.co/company/insurify,5,Oct '13,Cambridge,Marketplaces,https://insurify.com,11-50,Seed,6600000
Elsen,https://angel.co/company/elsen,5,Jul '14,Boston,Hedge Funds,https://elsen.co,1-10,"",2900000
Zaius,https://angel.co/company/zaius,5,Jul '14,Boston,"",http://www.zaius.com,51-200,Series A,6300000
lola.com,https://angel.co/company/lolatravelco,5,Dec '15,Boston,Online Travel,http://lola.com,51-200,Series C,37000000
SmashFly,https://angel.co/company/smashfly,5,Dec '15,Concord,Social Recruiting,http://www.smashfly.com,51-200,Series B,31000000
SimpliSafe,https://angel.co/company/simplisafe,5,Apr '14,Boston,Internet of Things,http://simplisafe.com/,51-200,"",57000000
Buoy Health,https://angel.co/company/buoyhealth,5,May '14,Boston,Mobile Health,https://www.buoyhealth.com/,11-50,"",9100000
Ground Signal,https://angel.co/company/groundsignal,4,Apr '15,Boston,Location Based Services,http://groundsignal.com,1-10,Series A,8025000
LabMinds,https://angel.co/company/labminds,4,Jun '11,Oxford,Robotics,http://www.labminds.com,11-50,"",12200000
Catch,https://angel.co/company/catchco,4,Apr '16,San Francisco,Freelancers,http://catch.co,11-50,Seed,8100000
Micronotes,https://angel.co/company/micronotes,4,Mar '12,Cambridge,Direct Marketing,http://www.micronotes.com,1-10,"",3161000
connectRN,https://angel.co/company/connectrn,4,Jun '14,Boston,Health Care Information Technology,http://www.connectrn.com,11-50,Series A,3100000
QMENTA,https://angel.co/company/qmenta_inc,4,Jul '13,Boston,Neuroscience,http://www.qmenta.com,11-50,Seed,3000000
Chalk Talk Solutions,https://angel.co/company/chalk-talk-solutions-1,4,Dec '14,Boston,Usa,http://chalktalk.academy/,11-50,Seed,4000000
Attivio,https://angel.co/company/attivio,4,Jun '15,Boston,Big Data Analytics,http://www.attivio.com/,51-200,Series A,59200000
edX,https://angel.co/company/edx,4,Mar '13,Cambridge,Education Technology,http://edx.org,51-200,"",60000000
Fresh Relevance,https://angel.co/company/fresh-relevance,3,Jun '16,London,Personalization,https://www.freshrelevance.com/,11-50,Series A,2660000
ACT.md,https://angel.co/company/act-md,3,Aug '14,Boston,Health Care Information Technology,https://act.md,11-50,Series A,8400000
MediaSilo,https://angel.co/company/mediasilo-1,3,May '15,Boston,Video,http://www.mediasilo.com,11-50,Series A,2300000
Akselos,https://angel.co/company/akselos,3,Nov '14,Boston,Product Design,http://www.akselos.com,11-50,"",2200000
Fling,https://angel.co/company/fling-1,3,Nov '15,London,Messaging,http://www.flingtheworld.com,11-50,Series A,19200000
