,Adress,Square Feet,Punctuation,Startups,Starbucks,Old companies,Schools,Night bars,Vegan Rest,Airport,Location,Reference
5,"280 Summer St, Boston, MA 02210, USA","17,360",17.5,10.0,5.0,-10.0,0.0,9.0,3.5,3.7203968388700805 km,"[-71.0497303, 42.3503111]",https://42floors.com//us/ma/boston/280-summer-st?listings=668778
28,"55 Thomson Pl, Boston, MA 02210, USA","6,500 - 14,630",17.5,9.0,5.0,-10.0,0.0,9.0,4.5,3.4431193121962256 km,"[-71.0468811, 42.3516618]",https://42floors.com//us/ma/boston/55-thomson-pl?listings=1676980%2C1676981
31,"44 Farnsworth St, Boston, MA 02210, USA","9,780",17.25,9.0,6.25,-10.0,0.0,8.0,4.0,3.4947516019535696 km,"[-71.0480589, 42.352401]",https://42floors.com//us/ma/boston/44-farnsworth-st?listings=1671452
47,"274 Summer St, Boston, MA 02210, USA","2,370",17.0,10.0,5.0,-10.0,0.0,9.0,3.0,3.734692382722258 km,"[-71.0500089, 42.350433]",https://42floors.com//us/ma/boston/274-summer-st?listings=1652638
49,"205 Portland St, Boston, MA 02114, USA","3,690",17.0,10.0,6.25,-8.0,3.75,3.0,2.0,4.313845609838325 km,"[-71.0619155, 42.3647529]",https://42floors.com//us/ma/boston/205-portland-st?listings=1652635
52,"101 Merrimac St, Boston, MA 02114, USA","18,900",16.75,9.0,6.25,-8.0,3.0,4.0,2.5,4.293003498447953 km,"[-71.0616159, 42.36377419999999]",https://42floors.com//us/ma/boston/101-merrimac-st?listings=1652624
53,"150 Staniford St, Boston, MA 02114, USA","1,760",15.75,9.0,7.5,-9.0,2.25,4.0,2.0,4.470698414100955 km,"[-71.06379799999999, 42.364184]",https://42floors.com//us/ma/boston/150-staniford-st?listings=1652619
10,"239-245 Causeway St, Boston, MA 02114, USA","4,780",15.5,9.0,3.75,-6.0,5.25,2.0,1.5,4.102161210936663 km,"[-71.05935590000001, 42.366032]",https://42floors.com//us/ma/boston/239-245-causeway-st/l1675670/unit-101-floor-1
0,"239-245 Causeway St, Boston, MA 02114, USA","14,540",15.5,9.0,3.75,-6.0,5.25,2.0,1.5,4.102161210936663 km,"[-71.05935590000001, 42.366032]",https://42floors.com//us/ma/boston/239-245-causeway-st/l1701258/floor-2
1,"239-245 Causeway St, Boston, MA 02114, USA","1,850",15.5,9.0,3.75,-6.0,5.25,2.0,1.5,4.102161210936663 km,"[-71.05935590000001, 42.366032]",https://42floors.com//us/ma/boston/239-245-causeway-st/l1701259/unit-105-floor-1
21,"500 Harrison Ave, Boston, MA 02118, USA","7,240",12.75,10.0,0.0,-10.0,3.75,5.0,4.0,5.325782397789175 km,"[-71.0658937, 42.3420995]",https://42floors.com//us/ma/boston/500-harrison-ave?listings=1702004
30,"601 Congress St, Boston, MA 02210, USA","19,020 - 49,780",10.75,2.0,8.75,-6.0,0.0,4.0,2.0,3.197454496411942 km,"[-71.0396552, 42.3474376]",https://42floors.com//us/ma/boston/601-congress-st?listings=1673447%2C1673445%2C1673434%2C1673449%2C1673458%2C1673454%2C1673451%2C1673444%2C1673453%2C1673440%2C1673437%2C1673455%2C1673457
50,"44 Plympton St, Boston, MA 02118, USA","5,000",9.0,7.0,0.0,-9.0,4.5,4.0,2.5,5.63849067808083 km,"[-71.0677525, 42.3389007]",https://42floors.com//us/ma/boston/44-plympton-st?listings=1652629
65,"250 Northern Ave, Boston, MA 02210, USA","3,650",6.25,2.0,6.25,-6.0,0.0,2.0,2.0,3.006071143183069 km,"[-71.0381694, 42.3488167]",https://42floors.com//us/ma/boston/250-northern-ave?listings=1593737
59,"1 Whittier Pl, Boston, MA 02114, USA","730 - 1,150",5.25,6.0,6.25,-8.0,0.0,1.0,0.0,4.7635809547560015 km,"[-71.0673822, 42.3662524]",https://42floors.com//us/ma/boston/1-whittier-pl?listings=1631344%2C1631346%2C1631347%2C1631341%2C1631343
48,"1 Liberty St, New York, NY 10006, USA",500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,310.6742635751509 km,"[-74.01073939999999, 40.7098327]",https://42floors.com//us/ma/boston/1-liberty-sq?listings=1652637
35,"207 South St, Elmhurst, IL 60126, USA","3,890",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1398.1919354859465 km,"[-87.93459089999999, 41.8857483]",https://42floors.com//us/ma/boston/207-south-st?listings=1671389
23,"300 Congress St, Quincy, MA 02169, USA","10,600 - 10,770",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,14.567636185360263 km,"[-71.0150002, 42.2345289]",https://42floors.com//us/ma/boston/300-congress-st?listings=1701984%2C1701982
57,"1 State St, New York, NY 10004, USA","2,040 - 4,600",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,311.3277854543317 km,"[-74.0133207, 40.702703]",https://42floors.com//us/ma/boston/1-state-st?listings=1502596%2C1502585%2C1502590%2C1502598
60,"1 Park Plaza, Irvine, CA 92614, USA","3,300",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,4168.364140668532 km,"[-117.8383034, 33.6793746]",https://42floors.com//us/ma/boston/2-park-plz?listings=1631331
13,"70 Franklin St, New York, NY 10013, USA","10,050 - 11,430",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,309.6816058391006 km,"[-74.004108, 40.7179659]",https://42floors.com//us/ma/boston/70-franklin-st?listings=1703585%2C1703587
32,"41 Winter St, Kingston, MA 02364, USA","4,100",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,43.9976810239303 km,"[-70.7503739, 42.0195674]",https://42floors.com//us/ma/boston/41-winter-st?listings=1671449
63,"37 Charles St, New York, NY 10014, USA",880,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,308.441410835834 km,"[-74.0027379, 40.73511389999999]",https://42floors.com//us/ma/boston/37-charles-st?listings=1619974
66,"345 Carroll St, Brooklyn, NY 11231, USA","6,800",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,311.43017459278934 km,"[-73.9910116, 40.67919089999999]",https://42floors.com//us/ma/boston/345-a-st?listings=1593734
41,"333 Newbury St #335, Springfield, MA 01104, USA","3,100 - 4,010",0.0,0.0,0.0,-0.0,0.0,0.0,0.0,132.18482077888294 km,"[-72.5785126, 42.1263255]",https://42floors.com//us/ma/boston/333-newbury-st?listings=1658308%2C1658307
